abad	NCM	4
abadía	NCF	4
abajo	RG	4
abandonar	VM	2
abandono	NCM	4
abanicar	VM	3
abanico	NCM	2
abaratar	VM	2
abarcar	VM	2
abarrotar	VM	2
abasto	NCM	2
abastos	NCM	2
abatir	VM	2
abdicar	VM	3
abdomen	NCM	2
abdominal	AQ0	1
abducir	VM	2
abeja	NCF	4
aberrante	AQ0	1
abertura	NCF	2
abeto	NCM	4
abierto	AQ0	0
abismo	NCM	2
ablandador	NCM	3
ablandar	VM	2
abnegación	NCF	4
abocar	VM	2
abogado	NCF	4
abogado	NCM	4
abogar	VM	3
abolición	NCF	4
abolir	VM	2
abonar	VM	2
abono	NCM	2
abordar	VM	2
aborigen	NCC	3
aborrecer	VM	3
aborto	NCM	4
abrasar	VM	2
abrazar	VM	2
abrazo	NCM	2
abrebotellas	NCM	2
abreviación	NCF	2
abreviar	VM	2
abreviatura	NCF	2
abridor	NCM	2
abrigo	NCM	2
abrir	VM	2
abro	NCM	2
abrochar	VM	2
abrumar	VM	3
absentismo	NCM	4
absolutista	AQ0	1
absoluto	AQ0	0
absolver	VM	4
absorbente	AQ0	1
absorber	VM	2
absorción	NCF	2
abstemio	AQ0	1
abstención	NCF	4
abstracción	NCF	2
abstracto	AQ0	0
absurdo	AQ0	0
absurdo	NCM	4
abuela	NCF	4
abuelo	NCM	4
abuelo	NCF	4
abultar	VM	3
abundancia	NCF	4
abundante	AQ0	4
abundar	VM	4
aburrar	VM	2
aburrimiento	NCM	2
aburrir	VM	2
abusar	VM	4
abuso	NCM	4
acabado	NCM	4
acabar	VM	2
academia	NCF	4
academicismo	NCM	2
académico	AQ0	4
académico	NCM	4
acaecer	VM	4
acallar	VM	3
acampada	NCF	4
acampar	VM	2
acant	NP0	1
acantilado	NCM	4
acanto	NCM	4
acaparar	VM	3
acariciar	VM	3
acarrear	VM	3
acaso	RG	4
acceder	VM	2
accesibilidad	NCF	-1
accesible	AQ0	0
acceso	NCM	4
accesorio	NCM	2
accidentado	NCM	4
accidentar	VM	4
accidente	NCM	4
accionar	VM	4
accionista	NCC	4
acción	NCF	4
ace	NCM	4
aceite	NCM	2
aceituna	NCF	4
aceitunero	NCM	3
aceituno	AQ0	1
acelerar	VM	2
acelga	NCF	4
acento	AQ0	1
acento	NCM	2
acentuar	VM	3
aceptable	AQ0	0
aceptación	NCF	2
aceptar	VM	4
acepto	AQ0	4
acera	NCF	4
acercamiento	NCM	2
acercar	VM	2
acero	NCM	2
acertar	VM	2
acetato	NCM	4
achacable	AQ0	1
achacar	VM	4
acierto	NCM	4
aclaración	NCF	2
aclarar	VM	2
aclimatación	NCF	4
aclimatar	VM	3
acné	NCM	4
acogedor	AQ0	0
acoger	VM	2
acogida	NCF	4
acomodar	VM	3
acompañamiento	NCM	2
acompañante	NCC	2
acompañar	VM	2
acomplejar	VM	2
acondicionamiento	NCM	2
acondicionar	VM	4
aconsejable	AQ0	1
aconsejar	VM	2
acontecer	VM	4
acontecimiento	NCM	2
acopiar	VM	4
acoplar	VM	2
acorazado	NCM	4
acordar	VM	3
acorde	NCM	4
acorde	AQ0	4
acordeón	NCM	2
acortamiento	NCM	2
acortar	VM	2
acosar	VM	3
acoso	NCM	4
acostar	VM	3
acostumbrar	VM	3
acreditación	NCF	4
acreditar	VM	4
acrónimo	NCM	2
acta	NCF	4
actitud	NCF	2
activar	VM	2
actividad	NCF	2
activista	NCC	3
activo	AQ0	4
activo	NCM	4
acto	NCM	4
actor	NCM	2
actriz	NCF	4
actuación	NCF	4
actual	AQ0	0
actualidad	NCF	4
actualización	NCF	4
actualizar	VM	2
actuar	VM	3
acuarela	NCF	4
acuario	NCM	4
acuarium	NCM	3
acuartelamiento	NCM	2
acuchillar	VM	3
acudir	VM	4
acueducto	NCM	4
acuerdo	NCM	4
acumulación	NCF	4
acumular	VM	3
acupuntor	NCF	3
acupuntor	NCM	3
acupuntura	NCF	4
acurrucar	VM	3
acusación	NCF	4
acusado	NCM	4
acusar	VM	2
acuático	AQ0	1
acuñar	VM	3
acá	RG	4
acústico	AQ0	4
adaptable	AQ0	1
adaptación	NCF	4
adaptar	VM	2
adaptativo	AQ0	1
addición	NCF	2
adecentar	VM	3
adecuación	NCF	2
adecuado	AQ0	0
adecuar	VM	3
adefesio	NCM	4
adelantado	NCM	4
adelantamiento	NCM	3
adelantar	VM	2
adelante	RG	4
adelgazamiento	NCM	2
adelgazante	AQ0	1
adelgazar	VM	2
además	RG	4
adentrar	VM	3
adentro	RG	4
adepto	AQ0	1
aderezar	VM	3
adherente	AQ0	1
adherir	VM	2
adhesión	NCF	4
adicción	NCF	4
adicional	AQ0	4
adicto	NCM	4
adicto	NCF	4
adicto	AQ0	1
adiestrar	VM	2
adinerar	VM	3
adiposo	AQ0	1
adir	VM	2
adivinar	VM	2
adiós	NCM	4
adjetivo	AQ0	1
adjetivo	NCM	2
adjudicación	NCF	2
adjudicar	VM	3
adjuntar	VM	2
adjunto	AQ0	1
adjunto	NCM	2
administración	NCF	4
administrador	NCM	3
administrar	VM	3
administrativo	AQ0	1
admirable	AQ0	0
admiración	NCF	2
admirador	NCM	2
admirador	NCF	4
admirador	AQ0	1
admirar	VM	2
admirativo	AQ0	1
admisión	NCF	4
admitir	VM	2
adn	NCM	2
adobar	VM	4
adobe	NCM	3
adolescencia	NCF	2
adolescente	AQ0	1
adolescente	NCC	2
adopción	NCF	4
adoptar	VM	2
adoptivo	AQ0	1
adoquinar	VM	3
adoquín	NCM	4
adorar	VM	3
adornar	VM	3
adorno	NCM	4
adosar	VM	2
adquirir	VM	4
adquisición	NCF	2
adquisitivo	AQ0	1
adrede	RG	4
adrenalina	NCF	3
adscribir	VM	2
adsl	NCM	2
aduana	NCF	4
aduanero	AQ0	1
adueñar	VM	3
adulador	AQ0	1
adular	VM	3
adulto	NCF	4
adulto	AQ0	4
adulto	NCM	4
adverbio	NCM	2
adverso	AQ0	1
advertencia	NCF	4
advertir	VM	2
adyacente	AQ0	1
aec	NP0	4
aerolínea	NCF	4
aeronave	NCF	4
aeronáutico	AQ0	1
aeropuerto	NCM	3
aerosol	NCM	2
aeróbic	NCM	2
aeróbico	AQ0	1
afanar	VM	4
afectado	NCM	4
afectar	VM	4
afectivo	AQ0	4
afecto	NCM	4
afectuoso	AQ0	4
afeitado	NCM	4
afeitar	VM	2
aferrar	VM	4
afianzar	VM	4
aficionado	NCM	4
aficionar	VM	4
afición	NCF	4
afiebrar	VM	4
afilador	AQ0	4
afilar	VM	4
afiliación	NCF	2
afiliar	VM	4
afinar	VM	4
afincar	VM	4
afirmación	NCF	4
afirmar	VM	2
afirmativo	AQ0	1
aflorar	VM	3
afluencia	NCF	4
aforo	NCM	2
afortunado	AQ0	1
afrentar	VM	3
africano	NCF	4
africano	AQ0	1
africano	NCM	4
afroamericano	NCM	3
afroamericano	AQ0	1
afrocubano	AQ0	1
afrodisíaco	NCM	3
afrodisíaco	AQ0	1
afrontar	VM	4
afuera	RG	4
afuera	NCF	4
afueras	NCF	4
afán	NCM	4
afín	AQ0	4
agachar	VM	2
agarrar	VM	2
agencia	NCF	4
agenda	NCF	2
